[u'Privilege abuse'],[u'LAN access'],Unknown,0001AA7F-C601-424A-B2B8-BE6C9F5164E7
[u'Data mishandling'],[u'LAN access'],Ext - unknown,003F5B6A-CA75-4694-AA76-FE9498FF0C3E
[u'Privilege abuse'],[u'LAN access'],Unknown,010DF8F5-3FAC-4C67-B220-A814CCE64D2F
[u'Privilege abuse'],[u'LAN access'],Ext - customer,01415D4B-2CAF-4EFC-AC36-55681DF6F338
[u'Privilege abuse'],[u'LAN access'],Unknown,01B2296F-1BEE-4C8C-ADE3-5BD8CDF959D5
[u'Privilege abuse'],[u'LAN access'],Int - IT review,022DD596-EED0-4728-804F-22E0B84C803C
[u'Privilege abuse'],[u'LAN access'],Unknown,02BC01D3-E545-4CD8-AD23-1E0148403985
[u'Privilege abuse'],[u'LAN access'],Unknown,02BD1AF4-6473-4DCB-A586-6C267EFF993A
[u'Privilege abuse'],[u'LAN access'],Unknown,03EA3D0E-E90A-475D-9832-A3C2C369936A
[u'Privilege abuse'],[u'LAN access'],Unknown,043ED164-6730-459A-B7D9-D6CBF4C37754
[u'Privilege abuse'],[u'LAN access'],Unknown,04CD66E6-7279-46BC-ABD7-08E05B0949B4
[u'Privilege abuse'],[u'LAN access'],Unknown,04F872FE-BAB1-4D31-84DA-BBCCA50FFF78
[u'Privilege abuse'],[u'LAN access'],Unknown,056FB58B-0C7A-4BEF-B444-736132FB5B14
[u'Privilege abuse'],[u'LAN access'],Unknown,059DFC0C-3D83-48D0-980A-8E9536090C45
[u'Privilege abuse'],[u'LAN access'],Unknown,06951413-138D-4CDC-8A66-C3FA0082FCBD
[u'Privilege abuse'],[u'LAN access'],Unknown,06C79BD5-90B5-4037-8872-24BEACE5D76B
[u'Net misuse'],[u'LAN access'],Ext - unknown,07093C37-7967-460C-9497-24CD42A55E73
[u'Privilege abuse'],[u'LAN access'],Unknown,08B8D8B6-D0DA-474C-9466-FACC055FFD57
"[u'Data mishandling', u'Unapproved workaround']",[u'LAN access'],Int - IT review,090B8365-ABFC-4357-8972-C8B5F7F4CB36
"[u'Privilege abuse', u'Data mishandling']",[u'LAN access'],Unknown,0916DC49-A92F-458D-9E91-9F88F268F94B
[u'Privilege abuse'],[u'LAN access'],Unknown,09736D23-B152-48F9-A3ED-D55E22E7C2B6
[u'Privilege abuse'],[u'LAN access'],Unknown,09C5D3D1-EBDC-4B78-A8D8-168A80FB4BE6
